Price,Time,Date
4.7041,22:14:18,2024-11-15
4.7016,22:55:41,2024-11-15
4.698,23:18:19,2024-11-15
4.7019,23:35:40,2024-11-15
4.6949000000000005,00:11:43,2024-11-16
4.696000000000001,00:17:20,2024-11-16
4.6975,00:23:08,2024-11-16
4.694599999999999,00:38:19,2024-11-16
4.6942,00:39:48,2024-11-16
4.6933,00:46:34,2024-11-16
4.6939,00:47:53,2024-11-16
4.6859,01:12:54,2024-11-16
4.687200000000001,01:29:52,2024-11-16
4.6879,01:39:48,2024-11-16
4.6865,02:02:14,2024-11-16
4.6879,02:09:36,2024-11-16
4.6923,02:23:16,2024-11-16
4.6964999999999995,02:38:02,2024-11-16
4.6929,03:14:07,2024-11-16
4.6951,04:03:09,2024-11-16
4.6948,04:04:29,2024-11-16
4.6962,04:14:56,2024-11-16
4.6966,04:43:52,2024-11-16
4.690799999999999,05:09:52,2024-11-16
4.692699999999999,05:17:41,2024-11-16
4.697,05:24:38,2024-11-16
4.6956,05:25:46,2024-11-16
4.6952,05:26:52,2024-11-16
4.6931,08:28:49,2024-11-16
